n:115 mse_avg:485.81 mse_y:717.82 mse_u:15.83 mse_v:27.71 psnr_avg:21.27 psnr_y:19.57 psnr_u:36.14 psnr_v:33.70 
n:116 mse_avg:503.60 mse_y:743.75 mse_u:16.73 mse_v:29.87 psnr_avg:21.11 psnr_y:19.42 psnr_u:35.90 psnr_v:33.38 
n:117 mse_avg:503.82 mse_y:743.77 mse_u:17.12 mse_v:30.69 psnr_avg:21.11 psnr_y:19.42 psnr_u:35.80 psnr_v:33.26 
n:118 mse_avg:505.60 mse_y:746.00 mse_u:17.67 mse_v:31.96 psnr_avg:21.09 psnr_y:19.40 psnr_u:35.66 psnr_v:33.08 
n:119 mse_avg:496.83 mse_y:732.99 mse_u:17.95 mse_v:31.08 psnr_avg:21.17 psnr_y:19.48 psnr_u:35.59 psnr_v:33.21 
n:120 mse_avg:458.52 mse_y:676.12 mse_u:17.33 mse_v:29.32 psnr_avg:21.52 psnr_y:19.83 psnr_u:35.74 psnr_v:33.46 
n:121 mse_avg:407.75 mse_y:600.48 mse_u:16.65 mse_v:27.96 psnr_avg:22.03 psnr_y:20.35 psnr_u:35.92 psnr_v:33.67 
n:122 mse_avg:413.08 mse_y:608.20 mse_u:16.77 mse_v:28.92 psnr_avg:21.97 psnr_y:20.29 psnr_u:35.89 psnr_v:33.52 
n:123 mse_avg:471.58 mse_y:695.44 mse_u:16.85 mse_v:30.86 psnr_avg:21.40 psnr_y:19.71 psnr_u:35.87 psnr_v:33.24 
n:124 mse_avg:494.98 mse_y:730.08 mse_u:17.17 mse_v:32.41 psnr_avg:21.18 psnr_y:19.50 psnr_u:35.78 psnr_v:33.02 
n:125 mse_avg:489.00 mse_y:721.17 mse_u:17.17 mse_v:32.17 psnr_avg:21.24 psnr_y:19.55 psnr_u:35.78 psnr_v:33.06 
n:126 mse_avg:484.76 mse_y:714.77 mse_u:17.46 mse_v:32.03 psnr_avg:21.28 psnr_y:19.59 psnr_u:35.71 psnr_v:33.08 
n:127 mse_avg:475.72 mse_y:701.28 mse_u:17.85 mse_v:31.32 psnr_avg:21.36 psnr_y:19.67 psnr_u:35.61 psnr_v:33.17 
n:128 mse_avg:451.42 mse_y:665.45 mse_u:16.87 mse_v:29.83 psnr_avg:21.59 psnr_y:19.90 psnr_u:35.86 psnr_v:33.38 
n:129 mse_avg:379.90 mse_y:559.05 mse_u:16.44 mse_v:26.75 psnr_avg:22.33 psnr_y:20.66 psnr_u:35.97 psnr_v:33.86 
